0,1,2,3,4
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,-0.112,0.0,0.0
0.021,0.0,-0.182,0.021,0.0
0.726,0.0,1.069,0.726,0.0
-0.251,0.0,1.294,-0.251,0.0
3.401,-0.675,0.696,-3.608,-0.675
1.878,-0.379,1.275,-2.823,-0.379
-0.086,-0.435,1.834,-1.255,-0.435
-0.569,-0.013,2.384,-0.984,-0.013
-1.592,-0.188,2.287,-0.128,-0.188
-1.447,-0.019,2.691,-0.538,-0.019
-1.332,-0.05,2.258,-0.952,-0.05
-0.955,0.034,2.634,-1.54,0.034
-0.484,0.187,2.859,-2.169,0.187
-0.769,0.431,2.888,-2.015,0.387
-0.797,0.546,3.017,-2.131,0.462
-0.817,0.624,3.467,-2.05,0.516
-0.925,0.676,3.356,-1.968,0.565
-0.821,0.874,3.533,-2.187,0.825
-0.811,0.925,3.499,-2.274,0.898
-0.846,0.903,3.629,-2.316,0.983
-0.891,0.994,3.62,-2.191,1.018
-0.836,1.031,3.704,-2.177,0.94
-0.63,1.007,3.606,-2.372,0.735
-0.672,1.099,3.683,-2.37,0.937
-0.497,1.034,3.499,-2.591,0.756
-0.418,1.271,3.391,-2.636,0.601
-0.202,1.478,3.436,-2.748,0.13
-0.098,0.935,3.402,-2.786,0.481
0.019,1.042,3.374,-2.848,0.211
-0.082,1.295,3.418,-2.712,-0.041
0.106,1.334,3.325,-2.902,-0.049
0.102,1.177,3.323,-2.857,0.1
0.068,1.249,3.3,-2.767,-0.107
0.141,1.116,3.32,-2.701,-0.075
0.267,1.063,3.327,-2.733,-0.051
0.318,1.045,3.431,-2.782,0.014
0.527,0.97,3.321,-2.812,0.04
0.785,0.81,3.207,-3.039,0.235
0.767,0.814,3.369,-2.879,0.132
0.867,0.837,3.461,-2.875,0.173
1.1,0.808,3.457,-2.869,0.136
1.263,0.848,3.459,-2.923,0.128
1.321,0.838,3.614,-2.724,0.153
1.604,0.808,3.614,-2.788,0.144
1.9,0.794,3.667,-2.714,0.157
2.025,0.796,3.831,-2.534,0.104
2.439,0.817,3.857,-2.572,0.097
2.768,0.82,3.743,-2.688,0.124
3.066,0.846,3.729,-2.577,0.199
3.463,0.857,3.674,-2.598,0.237
4.041,0.904,3.766,-2.416,0.236
4.575,0.989,3.561,-2.607,0.366
5.501,1.067,3.488,-2.508,0.391
6.419,1.141,3.188,-2.67,0.507
7.912,1.235,3.125,-2.355,0.173
9.062,1.202,2.386,-2.659,0.637
12.179,0.998,2.202,-1.632,-0.112
17.219,0.469,2.307,-1.581,0.448
29.778,-0.164,0.0,0.0,1.057
